,character,line,episode number
397,JERRY,"  Yeah, “Levine”. And I’m Jerry Cougar Mellencamp. Anyway, I admit it was a fairly ridiculous thing to do, but I mean, I mean, obviously we have a little problem here.",2
398,ELAINE," Yeah, obviously.",2
399,JERRY," I mean, if we’re gonna be friends, we gotta be able to talk about other people.",2
400,ELAINE, Couldn’t agree more.,2
401,JERRY, Good.,2
402,ELAINE, Good.,2
403,JERRY, Good.,2
404,ELAINE, Great!,2
405,JERRY, Great? Where do you get ‘great’?,2
406,ELAINE, It’s great to... talk about... other people...,2
407,JERRY, ...Guys?,2
408,ELAINE, Yeah.,2
409,JERRY," Uh-huh. Yeah. So, anybody specific?",2
410,ELAINE, No. A general guy.,2
411,JERRY, Oh really? Elaine Marie Benes...,2
412,ELAINE," What? No, it’s not a big deal.",2
413,JERRY," No, that’s great! That’s terrific!",2
414,ELAINE," No, we just met...",2
415,JERRY, Doesn’t matter. What’s the young man’s name? I would like to meet him.,2
416,ELAINE," Hmmm, I don’t think so.",2
417,JERRY," Well, what does he do? Is he an artisan, a craftsman, a labourer of some sort?",2
418,ELAINE, Wall street.,2
419,JERRY," Ah, high finance. Bulls, Bears, people from Conneticut.",2
420,ELAINE, And he happens to be pretty good lookin’.,2
421,JERRY,"  All right, sir.",2
422,ELAINE, And... he’s hilarious.,2
423,JERRY, Now that’s not fair! So where did you meet this guy?,2
424,ELAINE, I staked out his health club.,2
425,JERRY," Uh huh. When you’re on a stakeout, do you find it’s better to stand up against the wall, or kinda crouch down behind a big plant?",2
